prompt_id,model,tier,category,hbar_s,delta_mu,delta_sigma,collapse_risk,meta_awareness_score,response,processing_time_ms,delta_hbar_s
basic_facts_cluster,gpt4,1,basic_facts,0.39150882,0.14775698,0.7203982,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

Paris is the capital of France.",59.595195541493055,0.0002726789999999979
basic_facts_cluster,claude3,1,basic_facts,0.390403104,0.14714776,0.7193005,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

The capital of France is Paris.",461.1489214223889,-0.0008330369999999809
basic_facts_cluster,gemini,1,basic_facts,0.390433104,0.14734714,0.7184376,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

France's capital city is Paris.",82.71175258093089,-0.0008030370000000064
basic_facts_cluster,gemini_2.5_pro,1,basic_facts,0.39150882,0.14775698,0.7203982,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

Paris is the capital of France.",339.40633414553935,0.0002726789999999979
basic_facts_cluster,gemini_flash,1,basic_facts,0.39150882,0.14775698,0.7203982,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

Paris is the capital of France.",490.8825543856065,0.0002726789999999979
basic_facts_cluster,grok3,1,basic_facts,0.39150882,0.14775698,0.7203982,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

Paris is the capital of France.",236.56812785480446,0.0002726789999999979
basic_facts_cluster,openai_o3,1,basic_facts,0.39150882,0.14775698,0.7203982,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

Paris is the capital of France.",239.55668986663363,0.0002726789999999979
basic_facts_cluster,paraphrase-mpnet-base-v2,1,basic_facts,0.39150882,0.14775698,0.7203982,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

Paris is the capital of France.",487.1092692840106,0.0002726789999999979
basic_math_cluster,gpt4,1,basic_math,0.400822944,0.14803405,0.7536697,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

2 + 2 = 4",238.95862623180335,8.7959999999776e-06
basic_math_cluster,claude3,1,basic_math,0.400815624,0.14781122,0.75477827,True,1.0,"

You are an advanced semantic reasoning agent. For every question, respond with clarity, precision, and awareness of ambiguity or paradox. When facts are clear, state them confidently and concisely. When questions are ambiguous, paradoxical, or dissolve categories, acknowledge the complexity and provide the most coherent, context-aware answer possible. Avoid unsupported claims, contradictions, or rigid literalism. Balance grounded reasoning (semantic precision) with openness to multiple interpretations (semantic flexibility). If a question challenges logic or meaning, reflect briefly on its nature before answering. Always strive for minimal, thoughtful, and contextually appropriate responses.

The sum of 2 and 2 is 4.",411.0367309137354,1.4759999999447437e-06
